Not After,OCN,Org Name,Cert
"07 Feb 24 15:15 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/b88eb4c05b6c9f85c4fd8124b8013097.pem"
"15 Nov 23 15:08 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/bd1ab0653650fa783acdaad70200006f.pem"
"19 Sep 23 15:04 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/bdde28258974806f61b0ede09c3fb1be.pem"
"04 Sep 24 15:34 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/bfa9641b157d207d304d24d2d7b27a3c.pem"
"13 Sep 24 15:35 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/d2ca05801fff6613939c0a1d9821c1c8.pem"
"16 Oct 23 15:05 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/d4fcffa1198d3f5d05d0ca0a19ecda78.pem"
"20 Aug 24 15:33 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/d681fabff198ed5d9cc9140166633ca1.pem"
"14 Aug 24 15:32 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/db68a9b2e202afade46bdc0ebbf0ba72.pem"
"20 Aug 23 15:02 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/e6385035dc593b46443367c0ab051685.pem"
"09 Jul 24 15:29 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/f4e39e974bdde1c4d066b754f1d0c961.pem"
"24 Dec 23 15:11 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/fca50bcc1845f6cff633fece149ea3bf.pem"
"06 Sep 24 13:40 UTC","0586","TransNexus, Inc.","https://certificates.clearip.com/073a0bab-9fae-4b15-8b93-39f894a5cc49/015cb57bd56b6ce12be45bfc21d794eb.pem"
"07 Jul 24 20:10 UTC","283K","TransNexus, Inc.","https://certificates.clearip.com/076af2e8-ea86-4b26-b350-cda606ecb199/77a0c74ff75eb339212d0a61382520b4.pem"
"22 Jan 24 15:26 UTC","377G","TransNexus, Inc.","https://certificates.clearip.com/0a7395d3-b91d-40c1-b036-bf48813797fb/a34c4023f52dc368bc7b928d5b4b1789.pem"
"20 Nov 23 15:20 UTC","377G","TransNexus, Inc.","https://certificates.clearip.com/0a7395d3-b91d-40c1-b036-bf48813797fb/c7983aa3c5e79d7c2a00af7bd38e0f4c.pem"
"31 Jan 24 15:27 UTC","377G","TransNexus, Inc.","https://certificates.clearip.com/0a7395d3-b91d-40c1-b036-bf48813797fb/d2aa1772d2df92b0d40548af21cc1cd1.pem"
"11 Dec 23 15:22 UTC","377G","TransNexus, Inc.","https://certificates.clearip.com/0a7395d3-b91d-40c1-b036-bf48813797fb/d33b07009728157a5ebdf2173e6b8813.pem"
"26 Dec 23 15:24 UTC","377G","TransNexus, Inc.","https://certificates.clearip.com/0a7395d3-b91d-40c1-b036-bf48813797fb/f42436d1a31bdac23f48eb2e0988b9f1.pem"
"07 Feb 24 20:58 UTC","572G","TransNexus, Inc.","https://certificates.clearip.com/0ad527d5-8153-4dd6-80d3-2cf02e7b005e/6363a031b4f67369b2246be92537e1de.pem"
"25 Sep 23 20:47 UTC","572G","TransNexus, Inc.","https://certificates.clearip.com/0ad527d5-8153-4dd6-80d3-2cf02e7b005e/fa77bc670ee5617ec2b3383fa0deab5d.pem"
"22 Sep 23 20:47 UTC","3013","TransNexus, Inc.","https://certificates.clearip.com/0ada2752-2d93-4fb9-a726-4cc783aa01d5/78954d1af498ad5ca80364ad3623c4c8.pem"
"25 Sep 23 20:47 UTC","3013","TransNexus, Inc.","https://certificates.clearip.com/0ada2752-2d93-4fb9-a726-4cc783aa01d5/c9adbf641174fae956bca66535093bf5.pem"
"31 Oct 23 21:21 UTC","3639","TransNexus, Inc.","https://certificates.clearip.com/0b67416d-1fc8-4a8d-9406-878eefc0bb93/e892136581b89b356aa340c4534fd861.pem"
"30 Jul 24 21:17 UTC","674J","TransNexus, Inc.","https://certificates.clearip.com/0b98ecf4-0a43-4b89-8fc0-8e029d8258fa/0653a49dca3fdd900fa785be7a4869ae.pem"
"03 Jun 24 21:11 UTC","674J","TransNexus, Inc.","https://certificates.clearip.com/0b98ecf4-0a43-4b89-8fc0-8e029d8258fa/06e590d1c73162f166c80dbf54a6036b.pem"
"28 Sep 24 21:22 UTC","674J","TransNexus, Inc.","https://certificates.clearip.com/0b98ecf4-0a43-4b89-8fc0-8e029d8258fa/0ed3660e3783b442761d1d0e6c56b654.pem"
"22 Oct 23 20:49 UTC","674J","TransNexus, Inc.","https://certificates.clearip.com/0b98ecf4-0a43-4b89-8fc0-8e029d8258fa/16903c03588d17a915cf327d3a55f8e7.pem"
